identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/description,product/durability,product/feeCode,product/feeDescription,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/granularity,product/group,product/groupDescription,product/location,product/locationType,product/operation,product/productFamily,product/region,product/regionCode,product/requestDescription,product/requestType,product/routingTarget,product/routingType,product/servicecode,product/servicename,product/sku,product/storageClass,product/storageMedia,product/toLocation,product/toLocationType,product/toRegionCode,product/transferType,product/usagetype,product/version,product/volumeType,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,resourceTags/user:PID,costCategory/Test
erdisudfb77t35ghjrowbrh4b3iikz6x3ijychxhtxdjbnzbcg5q,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AWSCostExplorer,,,,,1,,,USD,,0.01,,0.01,Tax for product code AWSCostExplorer,India GST,,AWS Cost Explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
ahtcpemevkvtiptbr2rgiyqj7ueiie4nelia3wbpki3xg5ofs52a,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AWSDataTransfer,,,,,1,,,USD,,0,,0,Tax for product code AWSDataTransfer,India GST,,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
n2r4q32fj44j6uyfud37l44whgieobuolasackardyigiwmw7vma,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AWSLambda,,,,,1,,,USD,,0,,0,Tax for product code AWSLambda,India GST,,AWS Lambda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
4kuftfg3mkycpurmxzyh5naenub2dmbwkhzwgzvnld5j6unbtxuq,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AmazonApiGateway,,,,,1,,,USD,,0,,0,Tax for product code AmazonApiGateway,India GST,,Amazon API Gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
ogf4cko23qmjhowmge4sdjtxzncik6frm2n7yrqdk4evluqiynxq,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AmazonCloudFront,,,,,1,,,USD,,0,,0,Tax for product code AmazonCloudFront,India GST,,Amazon CloudFront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
6sfdxio542qht7qmzrnejxevt6gtux7cmwl3elopw4yx5rbbqcna,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AmazonDynamoDB,,,,,1,,,USD,,0,,0,Tax for product code AmazonDynamoDB,India GST,,Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
7sg7jlxmusmkwn5big2vz5q3a3y4ar363j5qurwws77mp6zhqarq,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AmazonRoute53,,,,,1,,,USD,,0.09,,0.09,Tax for product code AmazonRoute53,India GST,,Amazon Route 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
d6cb66kk2tnr7n7wbtjturiiorv2pb3y6qy5zkvhnislwrlmelaa,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AmazonS3,,,,,1,,,USD,,0.04,,0.04,Tax for product code AmazonS3,India GST,,Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
4xnmlbiakhjvvfg45uuxofdcjqycmasv7q5treag2evr4zfclg7q,2023-12-01T00:00:00Z/2024-01-01T00:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Tax,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,AmazonCloudWatch,,,,,1,,,USD,,0,,0,Tax for product code AmazonCloudWatch,India GST,,AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
fvaa2dv5utgejdn7jf46r6znbarfe55cfxsbdsnx6bymgxw6biea,2023-12-17T18:00:00Z/2023-12-17T19:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-17T18:00:00Z,2023-12-17T19:00:00Z,AmazonCloudFront,CA-Requests-Tier1,GET,,arn:aws:cloudfront::975795997058:distribution/ETB4U0QLBX8IO,1,,,USD,0,0,0,0,$0.000 per request - HTTP or HTTPS under the global monthly free tier,,,Amazon CloudFront,,,,,,,,,,,,Canada,AWS Edge Location,,Request,ca-central-1,,HTTP GET and HEAD requests,CloudFront-Request-Tier1,,,AmazonCloudFront,Amazon CloudFront,29K2E4HBJAYXK2EK,,,,,,,CA-Requests-Tier1,,,29K2E4HBJAYXK2EK.FSFDKQD35U.6YS6EN2CT7,38606517876,USD,0.00000075,0.00000075,,Requests,,,,,,,,,,1768914317,,,,,,,,,,,,,,,,fridge,test
fvaa2dv5utgejdn7jf46r6znbarfe55cfxsbdsnx6bymgxw6biea,2023-12-25T16:00:00Z/2023-12-25T17:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-25T16:00:00Z,2023-12-25T17:00:00Z,AmazonCloudFront,CA-Requests-Tier1,GET,,arn:aws:cloudfront::975795997058:distribution/ETB4U0QLBX8IO,3,,,USD,0,0,0,0,$0.000 per request - HTTP or HTTPS under the global monthly free tier,,,Amazon CloudFront,,,,,,,,,,,,Canada,AWS Edge Location,,Request,ca-central-1,,HTTP GET and HEAD requests,CloudFront-Request-Tier1,,,AmazonCloudFront,Amazon CloudFront,29K2E4HBJAYXK2EK,,,,,,,CA-Requests-Tier1,,,29K2E4HBJAYXK2EK.FSFDKQD35U.6YS6EN2CT7,38606517876,USD,0.00000225,0.00000075,,Requests,,,,,,,,,,1768914317,,,,,,,,,,,,,,,,fridge,test
volxndvxbjxiddvwyy55zaqqvkpgvh37nquv6gtypqxfitkvs3sq,2023-12-12T18:00:00Z/2023-12-12T19:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-12T18:00:00Z,2023-12-12T19:00:00Z,AmazonCloudFront,EU-Requests-Tier1,GET,,arn:aws:cloudfront::975795997058:distribution/ETB4U0QLBX8IO,1,,,USD,0,0,0,0,$0.000 per request - HTTP or HTTPS under the global monthly free tier,,,Amazon CloudFront,,,,,,,,,,,,Europe,AWS Edge Location,,Request,eu-west-1,,HTTP GET and HEAD requests,CloudFront-Request-Tier1,,,AmazonCloudFront,Amazon CloudFront,9MS5ZWGYNFR5NURG,,,,,,,EU-Requests-Tier1,,,9MS5ZWGYNFR5NURG.FSFDKQD35U.6YS6EN2CT7,38606517880,USD,0.0000009,0.0000009,,Requests,,,,,,,,,,1768914317,,,,,,,,,,,,,,,,fridge,test
volxndvxbjxiddvwyy55zaqqvkpgvh37nquv6gtypqxfitkvs3sq,2023-12-13T21:00:00Z/2023-12-13T22:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-13T21:00:00Z,2023-12-13T22:00:00Z,AmazonCloudFront,EU-Requests-Tier1,GET,,arn:aws:cloudfront::975795997058:distribution/ETB4U0QLBX8IO,1,,,USD,0,0,0,0,$0.000 per request - HTTP or HTTPS under the global monthly free tier,,,Amazon CloudFront,,,,,,,,,,,,Europe,AWS Edge Location,,Request,eu-west-1,,HTTP GET and HEAD requests,CloudFront-Request-Tier1,,,AmazonCloudFront,Amazon CloudFront,9MS5ZWGYNFR5NURG,,,,,,,EU-Requests-Tier1,,,9MS5ZWGYNFR5NURG.FSFDKQD35U.6YS6EN2CT7,38606517880,USD,0.0000009,0.0000009,,Requests,,,,,,,,,,1768914317,,,,,,,,,,,,,,,,fridge,test
volxndvxbjxiddvwyy55zaqqvkpgvh37nquv6gtypqxfitkvs3sq,2023-12-21T20:00:00Z/2023-12-21T21:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-21T20:00:00Z,2023-12-21T21:00:00Z,AmazonCloudFront,EU-Requests-Tier1,GET,,arn:aws:cloudfront::975795997058:distribution/ETB4U0QLBX8IO,1,,,USD,0,0,0,0,$0.000 per request - HTTP or HTTPS under the global monthly free tier,,,Amazon CloudFront,,,,,,,,,,,,Europe,AWS Edge Location,,Request,eu-west-1,,HTTP GET and HEAD requests,CloudFront-Request-Tier1,,,AmazonCloudFront,Amazon CloudFront,9MS5ZWGYNFR5NURG,,,,,,,EU-Requests-Tier1,,,9MS5ZWGYNFR5NURG.FSFDKQD35U.6YS6EN2CT7,38606517880,USD,0.0000009,0.0000009,,Requests,,,,,,,,,,1768914317,,,,,,,,,,,,,,,,fridge,test
volxndvxbjxiddvwyy55zaqqvkpgvh37nquv6gtypqxfitkvs3sq,2023-12-26T14:00:00Z/2023-12-26T15:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-26T14:00:00Z,2023-12-26T15:00:00Z,AmazonCloudFront,EU-Requests-Tier1,GET,,arn:aws:cloudfront::975795997058:distribution/ETB4U0QLBX8IO,1,,,USD,0,0,0,0,$0.000 per request - HTTP or HTTPS under the global monthly free tier,,,Amazon CloudFront,,,,,,,,,,,,Europe,AWS Edge Location,,Request,eu-west-1,,HTTP GET and HEAD requests,CloudFront-Request-Tier1,,,AmazonCloudFront,Amazon CloudFront,9MS5ZWGYNFR5NURG,,,,,,,EU-Requests-Tier1,,,9MS5ZWGYNFR5NURG.FSFDKQD35U.6YS6EN2CT7,38606517880,USD,0.0000009,0.0000009,,Requests,,,,,,,,,,1768914317,,,,,,,,,,,,,,,,fridge,test
gscqcqaa2p7zf5n44dbaujaperkg3osb2whv472yxfxfbkrmni6a,2023-12-01T01:00:00Z/2023-12-01T02:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-01T01:00:00Z,2023-12-01T02:00:00Z,AmazonS3,APS3-USE1-AWS-In-Bytes,CopyObject,,gw.ops,0.000123659,,,USD,0,0,0,0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Northern Virginia),,,Amazon Simple Storage Service,,,,,,Asia Pacific (Mumbai),AWS Region,ap-south-1,,,,,,,Data Transfer,ap-south-1,,,,,,AWSDataTransfer,AWS Data Transfer,B36TB4HQKCE3PSVX,,,US East (N. Virginia),AWS Region,us-east-1,InterRegion Inbound,APS3-USE1-AWS-In-Bytes,,,B36TB4HQKCE3PSVX.32CCEEARHH.6YS6EN2CT7,37510005746,USD,0,0,OnDemand,GB,,,,,,,,,,1768914320,,,,,,,,,,,,,,,,ops,test
e4jqccvjntg74b43wknz2c35fvzyqjugsjxazauxrczflqoasyua,2023-12-01T01:00:00Z/2023-12-01T02:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-01T01:00:00Z,2023-12-01T02:00:00Z,AmazonS3,APS3-USE1-AWS-In-Bytes,PutObject,,gw.ops,6.5109E-06,,,USD,0,0,0,0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Northern Virginia),,,Amazon Simple Storage Service,,,,,,Asia Pacific (Mumbai),AWS Region,ap-south-1,,,,,,,Data Transfer,ap-south-1,,,,,,AWSDataTransfer,AWS Data Transfer,B36TB4HQKCE3PSVX,,,US East (N. Virginia),AWS Region,us-east-1,InterRegion Inbound,APS3-USE1-AWS-In-Bytes,,,B36TB4HQKCE3PSVX.32CCEEARHH.6YS6EN2CT7,37510005746,USD,0,0,OnDemand,GB,,,,,,,,,,1768914320,,,,,,,,,,,,,,,,ops,test
e4jqccvjntg74b43wknz2c35fvzyqjugsjxazauxrczflqoasyua,2023-12-01T10:00:00Z/2023-12-01T11:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-01T10:00:00Z,2023-12-01T11:00:00Z,AmazonS3,APS3-USE1-AWS-In-Bytes,PutObject,,gw.ops,3.7E-09,,,USD,0,0,0,0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Northern Virginia),,,Amazon Simple Storage Service,,,,,,Asia Pacific (Mumbai),AWS Region,ap-south-1,,,,,,,Data Transfer,ap-south-1,,,,,,AWSDataTransfer,AWS Data Transfer,B36TB4HQKCE3PSVX,,,US East (N. Virginia),AWS Region,us-east-1,InterRegion Inbound,APS3-USE1-AWS-In-Bytes,,,B36TB4HQKCE3PSVX.32CCEEARHH.6YS6EN2CT7,37510005746,USD,0,0,OnDemand,GB,,,,,,,,,,1768914320,,,,,,,,,,,,,,,,ops,test
gscqcqaa2p7zf5n44dbaujaperkg3osb2whv472yxfxfbkrmni6a,2023-12-01T12:00:00Z/2023-12-01T13:00:00Z,1539683245,AWS,Anniversary,9.75796E+11,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,9.75796E+11,Usage,2023-12-01T12:00:00Z,2023-12-01T13:00:00Z,AmazonS3,APS3-USE1-AWS-In-Bytes,CopyObject,,gw.ops,0.000124933,,,USD,0,0,0,0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Northern Virginia),,,Amazon Simple Storage Service,,,,,,Asia Pacific (Mumbai),AWS Region,ap-south-1,,,,,,,Data Transfer,ap-south-1,,,,,,AWSDataTransfer,AWS Data Transfer,B36TB4HQKCE3PSVX,,,US East (N. Virginia),AWS Region,us-east-1,InterRegion Inbound,APS3-USE1-AWS-In-Bytes,,,B36TB4HQKCE3PSVX.32CCEEARHH.6YS6EN2CT7,37510005746,USD,0,0,OnDemand,GB,,,,,,,,,,1768914320,,,,,,,,,,,,,,,,ops,test